"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.888847208E0,1.918779165E-1,2.737154737E-2,4.980833709E-2
2.898803208E0,1.492159185E-1,1.342462242E-2,-3.094521940E-2
2.908758208E0,1.418767675E-1,1.812198311E-2,-1.215472412E-1
2.918714208E0,1.013131616E-1,1.168171361E-2,-1.834119523E-1
2.928670208E0,5.334816836E-2,-2.496366397E-2,-1.601201534E-1
2.938626208E0,2.969298335E-3,-4.557012901E-2,-1.120063394E-1
2.948581208E0,-3.675673506E-2,-5.465845630E-2,-5.517666578E-2
2.958537208E0,-7.133168209E-2,-4.806835189E-2,3.522362709E-3
2.968493208E0,-3.768664791E-2,-2.354761451E-2,-1.062614501E-1
2.978448208E0,-1.682362715E-2,-2.514624327E-2,-9.933542311E-2
2.988404208E0,1.353767468E-2,-5.138679296E-2,-8.994128644E-2
2.998360208E0,-2.570490818E-3,-5.214166850E-2,-1.157924116E-1
3.008315208E0,1.003847242E-2,-1.342959255E-2,-1.152018428E-1
3.018271208E0,1.340188223E-2,5.798537582E-3,-9.777830958E-2
3.028226542E0,8.869815012E-3,-3.046691716E-3,-1.066409343E-1
3.038181542E0,3.614576726E-2,5.333245397E-3,-6.543677509E-2
3.048137542E0,3.525994607E-2,4.112054408E-3,2.079269886E-3
3.058093542E0,7.490126564E-2,8.718198538E-4,5.284421146E-2
3.068048542E0,9.722697197E-2,-2.685070664E-2,1.165595663E-1
3.078004542E0,1.137630257E-1,-1.119274020E-2,1.612439883E-1
3.087960542E0,1.505249000E-1,2.306638867E-2,1.244901448E-1
3.097915542E0,1.780670307E-1,3.717981309E-2,7.555889010E-2
3.107871542E0,1.567737919E-1,3.485934556E-2,2.367128313E-2
3.117827542E0,1.469351389E-1,3.098980442E-2,-4.219292343E-2
3.127782542E0,1.388585627E-1,9.204979241E-4,-5.155723929E-2
3.137738542E0,1.234411909E-1,-3.195313320E-2,8.636337519E-3
3.147694542E0,7.627533847E-2,-5.648307994E-2,4.340914428E-2
3.157649542E0,5.036206841E-2,-5.501732916E-2,3.918277681E-2
3.167605542E0,4.332551083E-2,-2.550877064E-2,2.588094592E-2
3.177561542E0,5.775095729E-2,-4.543476596E-2,-5.240099251E-2
3.187517542E0,9.535716944E-3,-6.243656874E-2,-1.418522823E-1
3.197472542E0,-3.616863992E-2,-5.797075778E-2,-1.853497195E-1
3.207428542E0,-9.297649386E-2,-5.134103850E-2,-1.405319810E-1
3.217384542E0,-1.577514646E-1,-4.515000656E-2,-1.054346538E-1
